class,precision,recall,f1-score,support
chinee_apple,0.024096385542168676,0.015873015873015872,0.019138755980861243,126.0
lantana,0.07635467980295567,0.31,0.1225296442687747,100.0
negative,0.46835443037974683,0.34022988505747126,0.3941411451398136,870.0
parkinsonia,0.2,0.01694915254237288,0.03125,118.0
parthenium,0.05161290322580645,0.0761904761904762,0.06153846153846154,105.0
prickly_acacia,0.09929078014184398,0.13861386138613863,0.11570247933884298,101.0
rubber_vine,0.06926406926406926,0.12213740458015267,0.08839779005524862,131.0
siam_weed,0.1518987341772152,0.11538461538461539,0.13114754098360656,104.0
snake_weed,0.0,0.0,0.0,96.0
